제목,카테고리,카테고리1,지역명,시군구명,개요,위도,경도
루안(역삼점),음식점,중식,서울,강남구,"서울 강남구에 위치한 중식당 루안은 대규모 호텔식의 고급레스토랑이며, 넓은 주차장과 대규모 연회시설과 신선한 소재를 바탕으로 좋은 서비스와 시설을 갖춘 매장이다. 호텔프라쟈에서 15년간 정성을 기울인 역삼점(아세아점)은 전통과 더불어 호텔에 버금가는 시설과 스텝으로 최고의 고객만족을 위하여 특급조리사들과 종사자들이 오늘도 노력을 바탕으로 성업중이며, 북경요리와 산동지방요리를 중심으로 신선하고 깨끗함을 우선으로 하고 있다. 매장의 조리사들은 각종 매스컴에서도 극찬한바 있는 유명요리사로 구성되어 있으며, 풍부한 경험과 신뢰를 바탕으로 내.외국인을 포함한 각종연회와 행사를 주관하고 있다.",37.4990441,127.0361935
루안(방배점),음식점,중식,서울,서초구," 서울 서초구에 위치한 중식당 루안은 대규모 호텔식의 고급레스토랑이며, 넓은 주차장과 대규모 연회시설과 신선한 소재를 바탕으로 좋은 서비스와 시설을 갖춘 매장이다. 북경요리와 산동지방요리를 중심으로 신선하고 깨끗함을 우선으로 하고 있다. 매장의 조리사들은 각종 매스컴에서도 극찬한바 있는 유명요리사로 구성되어 있으며, 풍부한 경험과 신뢰를 바탕으로 내.외국인을 포함한 각종연회와 행사를 주관하고 있다.",37.498154,126.9831433
미스터케밥(Mr.kebab),음식점,이색음식점,서울,용산구,"미스터케밥'은 세계 3대 요리 중 하나인 터키 요리를 숙련된 현지 요리사의 손을 통해 다양하고 신선하게 제공하는 케밥 전문점이다. 숙련된 현지 요리사의 손맛과 신선한 재료의 본연에 맛을 잊지 않는 웰빙 레시피로 다양한 터키 전통 케밥을 제공하고 있다.  쫀득하고 부드러운 터키 아이스크림 돈두르마는 깔끔한 디저트로 각광받고 있으며,  모든 메뉴는 이슬람식 및 웰빙식품인 할랄푸드(Halal Food) 이다.",37.5344104,126.9931897
안즈(을지로 페럼타워점),음식점,일식,서울,중구,정통 일본 돈가스를 선보이는 프리미엄 돈가스 레스토랑.일본 현지에서 특별 교육을 받은 셰프와 스태프가 일본 정통 돈가스의 촉촉하고 부드러움을 그대로 재현한다. 육질과 지방층을 적절히 함유한 국내산 냉장 토종 돼지고기에 안즈 만의 독자적 냉장 숙성방법과 특제 소스 등을 이용하여 특별한 맛을 완성시킨다.,37.5669211,126.9817756
폴 바셋(을지로 페럼타워점),커피/음료점,카페/전통찻집,서울,중구,"월드 바리스타 챔피언 폴 바셋이 만든 프리미엄 커피 전문점. 바리스타 폴 바셋이 전 세계의 커피 원산지와 농장을 다니며 찾아낸 최상급 생두를 독자적인 배합비와 로스팅 기법, 추출 방식을 통해 최상의 커피로 선보인다.",37.5670626,126.9817247
야마야(을지로 페럼타워점),음식점,일식,서울,중구,"일본 하카타 지방의 전통 요리를 선보이는 일본식 곱창요리 모츠나베 다이닝 앤 바. 담백하고 진한 맛이 우러나는 모츠나베와 톡톡 씹히는 신선한 어란의 식감과 향긋하게 배어나오는 유자향이 식욕을 돋우는 매콤한 명란으로 유명하다. 저녁 시간, 간단한 모임에는 하카타 지역의 향토색 짙은 안주에 깔끔한 일본 전통 소주를 곁들일 것을 권한다. 점심시간에는 합리적인 가격의 런치 특선 메뉴도 선보인다.",37.5670832,126.9818078
하고로모 (Hagoromo),음식점,일식,서울,중구,"서울시내 중심가 을지로 미래에셋 센터원 빌딩 지하에 자리잡은 일식 캐쥬얼 레스토랑으로, 일본식 정통 덮밥, 돈부리와 튀김, 사시미, 스시 등을 한꺼번에 코스로 즐길 수 있는 곳이다. 세련되고 환경친화적인 인테리어로 한층 고급스런 식사를 맛 볼 수 있다.",37.5674515,126.982919
길스시,음식점,일식,부산,부산진구,"부산시 서면에 위치한 스시전문점으로 2011년 확장이전으로 인해 시설도 깔끔하며 지하철, 버스 등 교통이 편리하다. 홈페이지를 통해 이벤트에 참가하면 다양한 혜택도 누릴수 있다. 선택초밥, 세트초밥, 지라시스시, 일품/코스요리, 초밥도시락, 다양한 사케를 맛볼 수 있는 곳이다.",35.1564458,129.0523443
팔레드고몽,음식점,서양식,서울,강남구,서울 청담동에 위치한 정통 프랑스식 레스토랑 팔레 드 고몽은 2000년 오픈하였으며 영화를 전공한 사장이 영화 기술 발전의 선구자이자 고몽 극장을 설립한 레옹 고몽의 이름을 따서 만든 레스토랑이다. 팔레 드 고몽은 100년의 전통을 목표로 세우고 국내.외 유명인사들로 부터 한국 음식문화 이미지를 새롭게 인식시킨 파인다이닝의 높은 가치를 지닌 레스토랑으로써 특별한 평가를 받고 있다.,37.5257531,127.0450771
파크 하얏트 서울 코너스톤,음식점,서양식,서울,강남구,"파크 하얏트 서울의 코너스톤(Cornerstone, Cucina Italiana)은 모던한 분위기 속에서 소박하고 친근한 이탈리아 홈 스타일의 요리를 즐길 수 있는 정통 이탈리안 레스토랑이다.   한국과 이탈리아의 제철 식재료를 사용해 이탈리아 남부 지역 메초조르노에서 영감을 받은 요리를 선보이며, 와인과 맥주, 식후주인 그라파 등 다양한 주류 메뉴도 곁들였다. 약 500여 종의 와인 리스트 중 70% 이상을 이탈리아산 와인으로 구성했다.  프라이빗 다이닝 룸은 비즈니스 미팅, 가족연, 프로포즈 등 각종 모임의 목적에 따라 사용 가능하다.",37.5087047,127.0621159
티앙팡,커피/음료점,카페/전통찻집,서울,서대문구,2001년 오픈해서 홍차전문점으로 이름이 꽤 알려져 있는 곳이다.홍차에 대해 매우 박식한 사장님이 가끔 직접 홍차에 대해 이야기해주는 곳이다.다양하고 고급스러운 홍차를 엔틱한 느낌의 인테리어로 편안하고 아늑한 분위기에서 맛 볼 수 있는 홍차전문점이다.,37.5582154,126.9438656
